input, method, guess, after_one, final, iters
8.315244e-02,withoutDiv,3.572886e+00,3.463049e+00,3.467858e+00,2
8.315244e-02,optimal_grid,3.169559e+00,3.467060e+00,3.467060e+00,1
8.315244e-02,Moroz,3.535347e+00,3.468992e+00,3.468992e+00,1
1.120181e-01,Blinn,3.207710e+00,2.977647e+00,2.987170e+00,2
1.120181e-01,QuakeIII,3.072570e+00,2.984190e+00,2.987823e+00,2
1.120181e-01,withoutDiv,3.111035e+00,2.980104e+00,2.987800e+00,2
1.120181e-01,optimal_grid,2.707708e+00,2.988690e+00,2.988690e+00,1
1.120181e-01,Moroz,3.073496e+00,2.986812e+00,2.986812e+00,1
1.438665e-01,Blinn,2.849068e+00,2.624385e+00,2.635652e+00,2
1.438665e-01,QuakeIII,2.713929e+00,2.633006e+00,2.636447e+00,2
1.438665e-01,withoutDiv,2.752394e+00,2.628694e+00,2.636420e+00,2
1.438665e-01,optimal_grid,2.349067e+00,2.638158e+00,2.638158e+00,1
1.438665e-01,Moroz,2.714854e+00,2.635309e+00,2.635309e+00,1
2.204038e-02,Blinn,7.178831e+00,6.720417e+00,6.734846e+00,2
2.204038e-02,QuakeIII,6.908552e+00,6.729119e+00,6.735810e+00,2
2.204038e-02,withoutDiv,6.985482e+00,6.721767e+00,6.735775e+00,2
2.204038e-02,optimal_grid,6.178828e+00,6.732262e+00,6.629545e+00,95
2.204038e-02,Moroz,6.910402e+00,6.735047e+00,6.735047e+00,1
7.166637e-02,Blinn,3.853338e+00,3.737217e+00,3.737217e+00,1
7.166637e-02,QuakeIII,3.718199e+00,3.735326e+00,3.735326e+00,1
7.166637e-02,withoutDiv,3.756664e+00,3.735264e+00,3.735264e+00,1
7.166637e-02,optimal_grid,3.353337e+00,3.737676e+00,3.676508e+00,95
7.166637e-02,Moroz,3.719124e+00,3.738607e+00,3.738726e+00,95
1.621755e-01,Blinn,2.702596e+00,2.468198e+00,2.482150e+00,2
1.621755e-01,QuakeIII,2.567456e+00,2.478836e+00,2.483164e+00,2
