input,reference,initial,after_one,final,iters,magic
0.064020,3.952224,3.840989,3.947572,3.952216,2,0x5F376145
0.102040,3.130501,3.232666,3.125446,3.130489,2,0x5F376146
0.068016,3.834366,3.777052,3.833088,3.834365,2,0x5F376147
1.807199,0.743870,0.764528,0.743001,0.743868,2,0x5F376148
0.131563,2.756978,2.812810,2.755271,2.756976,2,0x5F376149
0.053088,4.340140,4.333024,4.340122,4.340122,1,0x5F37614A
0.294780,1.841837,1.843097,1.841836,1.841836,1,0x5F37614B
0.141622,2.657266,2.732339,2.654054,2.657260,2,0x5F37614C
1.145336,0.934402,0.929995,0.934371,0.934371,1,0x5F37614D
0.077805,3.585052,3.620430,3.584527,3.585052,2,0x5F37614E
0.144868,2.627323,2.706368,2.623719,2.627315,2,0x5F37614F
0.210611,2.179013,2.180429,2.179011,2.179011,1,0x5F376150
0.436311,1.513917,1.560035,1.511788,1.513912,2,0x5F376151
0.036510,5.233541,5.394007,5.226086,5.233525,2,0x5F376152
0.470979,1.457133,1.490700,1.455965,1.457132,2,0x5F376153
0.034121,5.413658,5.546904,5.408699,5.413651,2,0x5F376154
0.062524,3.999247,3.864939,3.992557,3.999230,2,0x5F376155
0.547497,1.351478,1.385161,1.350209,1.351476,2,0x5F376156
0.168105,2.438987,2.520475,2.434858,2.438977,2,0x5F376157
0.468635,1.460773,1.495389,1.459533,1.460771,2,0x5F376158
1.106853,0.950506,0.939616,0.950320,0.950320,1,0x5F376159
0.047693,4.579032,4.678296,4.575781,4.579029,2,0x5F37615A
0.223171,2.116808,2.079952,2.115851,2.116807,2,0x5F37615B
0.633825,1.256074,1.298833,1.253866,1.256068,2,0x5F37615C
0.048695,4.531647,4.614130,4.529381,4.531645,2,0x5F37615D
0.304779,1.811371,1.823101,1.811257,1.811257,1,0x5F37615E
0.064735,3.930347,3.829561,3.926504,3.930341,2,0x5F37615F
0.057843,4.157914,4.028699,4.151953,4.157901,2,0x5F376160
0.078502,3.569101,3.609282,3.568419,3.569101,2,0x5F376161
0.172750,2.405972,2.483317,2.402203,2.405963,2,0x5F376162
0.890023,1.059984,1.042636,1.059561,1.059984,2,0x5F376163
1.992535,0.708430,0.718196,0.708227,0.708227,1,0x5F376164
1.256544,0.892095,0.902194,0.891923,0.891923,1,0x5F376165
0.599346,1.291699,1.333314,1.289666,1.291694,2,0x5F376166
0.040492,4.969539,5.139160,4.960755,4.969515,2,0x5F376167
0.032472,5.549408,5.652444,5.546520,5.549406,2,0x5F376168
1.958248,0.714605,0.726768,0.714293,0.714605,2,0x5F376169
0.687334,1.206191,1.245327,1.204266,1.206187,2,0x5F37616A
0.433909,1.518100,1.564842,1.515919,1.518096,2,0x5F37616B
0.656344,1.234338,1.276316,1.232172,1.234332,2,0x5F37616C
0.069962,3.780659,3.745922,3.780182,3.780659,2,0x5F37616D
1.880331,0.729261,0.746248,0.728663,0.729260,2,0x5F37616E
0.484556,1.436574,1.463549,1.435809,1.436573,2,0x5F37616F
1.183044,0.919390,0.920570,0.919387,0.919387,1,0x5F376170
0.052642,4.358453,4.361535,4.358450,4.358450,1,0x5F376171
0.257322,1.971340,1.918017,1.969196,1.971337,2,0x5F376172
0.060415,4.068423,3.932029,4.061640,4.068406,2,0x5F376173
0.043548,4.791971,4.943552,4.784703,4.791955,2,0x5F376174
0.045573,4.684310,4.813968,4.678878,4.684301,2,0x5F376175
0.705061,1.190932,1.227601,1.189221,1.190928,2,0x5F376176
0.293433,1.846058,1.845796,1.846058,1.846058,1,0x5F376177
1.121696,0.944197,0.935907,0.944088,0.944088,1,0x5F376178
1.520537,0.810964,0.836197,0.809774,0.810961,2,0x5F376179
0.142878,2.645561,2.722303,2.642189,2.645554,2,0x5F37617A
0.303680,1.814646,1.825303,1.814552,1.814552,1,0x5F37617B
0.337794,1.720576,1.757074,1.719407,1.720575,2,0x5F37617C
0.918743,1.043285,1.013920,1.042057,1.043283,2,0x5F37617D
0.129977,2.773750,2.825512,2.772292,2.773749,2,0x5F37617E
0.048893,4.522479,4.601498,4.520396,4.522478,2,0x5F37617F
1.409320,0.842355,0.864001,0.841513,0.842354,2,0x5F376180
0.171830,2.412410,2.490690,2.408559,2.412400,2,0x5F376181
0.074399,3.666207,3.674945,3.666176,3.666176,1,0x5F376182
0.199536,2.238667,2.269040,2.238046,2.238667,2,0x5F376183
0.126250,2.814388,2.855325,2.813491,2.814388,2,0x5F376184
0.309008,1.798934,1.814648,1.798727,1.798727,1,0x5F376185
1.127396,0.941807,0.934483,0.941721,0.941721,1,0x5F376186
0.178454,2.367210,2.437695,2.364030,2.367203,2,0x5F376187
0.043978,4.768522,4.916083,4.761601,4.768507,2,0x5F376188
0.678170,1.214314,1.254494,1.212297,1.214309,2,0x5F376189
0.158297,2.513412,2.598953,2.508996,2.513401,2,0x5F37618A
0.589185,1.302789,1.343479,1.300863,1.302785,2,0x5F37618B
1.718217,0.762888,0.786778,0.761755,0.762886,2,0x5F37618C
0.107778,3.046039,3.140885,3.041563,3.046029,2,0x5F37618D
0.088759,3.356559,3.445188,3.353017,3.356553,2,0x5F37618E
0.473026,1.453978,1.486614,1.452870,1.453976,2,0x5F37618F
0.301971,1.819773,1.828723,1.819707,1.819707,1,0x5F376190
0.765043,1.143291,1.167622,1.142509,1.143291,2,0x5F376191
0.250406,1.998380,1.931854,1.995095,1.998372,2,0x5F376192
0.038540,5.093827,5.264101,5.085194,5.093805,2,0x5F376193
0.136048,2.711154,2.776948,2.708739,2.711150,2,0x5F376194
0.375016,1.632957,1.682633,1.630668,1.632953,2,0x5F376195
0.089980,3.333709,3.425656,3.329870,3.333702,2,0x5F376196
1.130274,0.940607,0.933764,0.940532,0.940532,1,0x5F376197
0.631432,1.258453,1.301234,1.256246,1.258447,2,0x5F376198
0.925900,1.039245,1.006765,1.037738,1.039242,2,0x5F376199
0.586211,1.306089,1.346455,1.304199,1.306085,2,0x5F37619A
0.265597,1.940386,1.901472,1.939223,1.940385,2,0x5F37619B
0.042935,4.826074,4.982821,4.818355,4.826056,2,0x5F37619C
0.784720,1.128867,1.147947,1.128381,1.128867,2,0x5F37619D
0.051988,4.385781,4.403410,4.385674,4.385674,1,0x5F37619E
1.905189,0.724488,0.740036,0.723984,0.724487,2,0x5F37619F
0.658615,1.232208,1.274052,1.230053,1.232203,2,0x5F3761A0
0.058565,4.132207,3.991264,4.125078,4.132189,2,0x5F3761A1
0.132072,2.751664,2.808762,2.749874,2.751662,2,0x5F3761A2
0.629687,1.260195,1.302981,1.257991,1.260189,2,0x5F3761A3
0.432270,1.520975,1.568126,1.518760,1.520971,2,0x5F3761A4
0.193719,2.272028,2.315581,2.270767,2.272027,2,0x5F3761A5
0.802505,1.116288,1.130163,1.116028,1.116288,2,0x5F3761A6
0.556310,1.340730,1.376357,1.339298,1.340728,2,0x5F3761A7
1.559189,0.800849,0.826537,0.799600,0.800846,2,0x5F3761A8
0.901239,1.053368,1.031429,1.052687,1.053367,2,0x5F3761A9
0.389962,1.601359,1.652743,1.598859,1.601353,2,0x5F3761AA
0.067996,3.834942,3.777403,3.833654,3.834941,2,0x5F3761AB
0.742224,1.160734,1.190444,1.159583,1.160732,2,0x5F3761AC
0.052492,4.364707,4.371210,4.364692,4.364692,1,0x5F3761AD
1.428466,0.836691,0.859218,0.835773,0.836689,2,0x5F3761AE
1.569420,0.798235,0.823979,0.796976,0.798231,2,0x5F3761AF
0.084385,3.442443,3.515173,3.440121,3.442440,2,0x5F3761B0
0.202804,2.220557,2.242907,2.220218,2.220557,2,0x5F3761B1
1.900900,0.725304,0.741109,0.724784,0.725304,2,0x5F3761B2
0.422156,1.539088,1.588357,1.536697,1.539083,2,0x5F3761B3
0.723096,1.175985,1.209573,1.174533,1.175983,2,0x5F3761B4
0.402879,1.575478,1.626910,1.572932,1.575472,2,0x5F3761B5
1.212472,0.908164,0.913217,0.908122,0.908122,1,0x5F3761B6
0.179669,2.359195,2.427990,2.356157,2.359189,2,0x5F3761B7
0.243232,2.027636,1.959743,2.024264,2.027627,2,0x5F3761B8
0.353030,1.683040,1.726610,1.681333,1.683037,2,0x5F3761B9
0.046178,4.653539,4.775301,4.648719,4.653532,2,0x5F3761BA
0.033747,5.443553,5.570873,5.439052,5.443548,2,0x5F3761BB
0.479653,1.443898,1.473365,1.442990,1.443897,2,0x5F3761BC
0.765204,1.143171,1.167466,1.142391,1.143171,2,0x5F3761BD
0.133870,2.733121,2.794383,2.731046,2.733119,2,0x5F3761BE
0.147245,2.606032,2.687381,2.602183,2.606024,2,0x5F3761BF
0.078586,3.567194,3.607961,3.566492,3.567194,2,0x5F3761C0
0.653172,1.237332,1.279499,1.235152,1.237326,2,0x5F3761C1
0.401039,1.579089,1.630592,1.576541,1.579082,2,0x5F3761C2
0.151212,2.571619,2.655645,2.567456,2.571609,2,0x5F3761C3
0.492760,1.424566,1.447152,1.424026,1.424565,2,0x5F3761C4
0.619000,1.271026,1.313671,1.268856,1.271021,2,0x5F3761C5
0.212592,2.168835,2.164607,2.168823,2.168823,1,0x5F3761C6
0.223744,2.114094,2.075391,2.113038,2.114094,2,0x5F3761C7
0.045600,4.682942,4.812302,4.677532,4.682932,2,0x5F3761C8
0.049701,4.485589,4.549853,4.484201,4.485589,2,0x5F3761C9
0.050470,4.451244,4.500579,4.450421,4.451244,2,0x5F3761CA
0.084004,3.450251,3.521284,3.448042,3.450248,2,0x5F3761CB
0.055479,4.245553,4.180009,4.244043,4.245553,2,0x5F3761CC
0.432531,1.520517,1.567610,1.518307,1.520513,2,0x5F3761CD
1.183369,0.919263,0.920494,0.919261,0.919261,1,0x5F3761CE
0.083757,3.455323,3.525227,3.453187,3.455320,2,0x5F3761CF
0.094433,3.254148,3.354411,3.249466,3.254138,2,0x5F3761D0
0.046214,4.651706,4.772981,4.646922,4.651698,2,0x5F3761D1
0.072750,3.707518,3.701344,3.707503,3.707503,1,0x5F3761D2
1.223778,0.903959,0.910392,0.903890,0.903890,1,0x5F3761D3
